sep=	
sobre	quem é você	
sobre	o que voce come	
sobre	de onde você veio	
sobre	como voce vive	
sobre	conte me sobre você?	
sobre	saber sobre tu	
sobre	me conte mais	
sobre	queria saber mais sobre voce	
sobre	o que esse chatbot faz?	
sobre	oque é esse chat bot	
sobre	voce sabe conversar	
sobre	o que tem por traz de voce	
sobre	como surgiu?	
sobre	vc	
sobre	conte me mais sobre o aeroporto	
sobre	eu quero chegar em sobre mim	
sobre	Sobre mim	
sobre	saber de ti	
sobre	onde nasceu	
sobre	qual a sua história?	
sobre	me conte sobre voce	
sobre	info	
sobre	me conte sobre tu	
sobre	eu quero conhecer a companhia	
sobre	quem são vcs	
sobre	o que faz esse bot de voos	
sobre	qual a sua origem	
sobre	de onde você é?	
sobre	o que isso faz	
reclamar	esse bot não vai	
reclamar	o valor de pagamento está errado	
reclamar	eu não estou satisfeita	
reclamar	meu livro está estragado	
reclamar	deu b.o	
reclamar	reclamar	
reclamar	como posso fazer uma reclamação?	
reclamar	esta muito caro as passagens	
reclamar	eu queria reclamar da demora	
reclamar	deu pau	
reclamar	gostaria de fazer uma reclamação	
reclamar	esse chat esta muito ruim	
reclamar	quero reclamar	
reclamar	esta dando bo	
reclamar	porque a minha esta errada	
reclamar	esse chat não tem nada haver	
reclamar	não consigo encontrar o que eu quero	
reclamar	essa conversa esta ruim	
reclamar	o chat nao me responde	
reclamar	eu quero ser redirecionado ao setor de reclamação	
reclamar	nao tem nada nessa	
reclamar	queixa	
reclamar	atendimento está muito ruím	
reclamar	nao consigo fazer nada	
reclamar	eu não estou gostando	
reclamar	ta quebrado	
reclamar	nada haver isso daqui	
reclamar	o chat esta travando	
reclamar	eu quero reclamar	
reclamar	meus dados estão errados	
reclamar	perdi minha passagem	
reclamar	eu quero fazer uma reclamação	
querer	quero clicar no botao	
querer	eu escolho	
querer	o que eu posso	
querer	gostaria de poder	
querer	eu gostaria de	
querer	eu quero	
querer	queria falar de	
querer	eu queria	
querer	gostaria de fazer	
querer	me de a	
querer	teria como voce	
querer	irei escolher a opção	
querer	teria como vc	
querer	tem como voce abrir a janela	
querer	tem como voce me mandar	
querer	me mande para a	
querer	vou escolher essa	
querer	queria falar sobre	
querer	me da uma polção	
querer	por gentileza eu queria	
querer	eu gostaria de escolher	
querer	queria saber	
querer	eu escolho a opçao	
outras-coisas	encher a cara	
outras-coisas	ir pra balada	
outras-coisas	tomar uma cerveja	
outras-coisas	fazer dowload	
outras-coisas	andar de bicicleta	
outras-coisas	fazer um rolezinho no shoping	
outras-coisas	you tube	
outras-coisas	jogar conversa fora	
outras-coisas	ir no clube	
outras-coisas	ir na loja	
outras-coisas	tomar uma breja	
outras-coisas	molhar as palavras	
outras-coisas	tomar uma	
outras-coisas	sair comigo	
outras-coisas	andar de carro	
outras-coisas	tirar uma selfie	
outras-coisas	ouvir musica	
outras-coisas	correr um pouco	
outras-coisas	tomar whisky	
outras-coisas	ir na faculdade	
outras-coisas	jogar video game	
outras-coisas	ir no baile	
outras-coisas	beber vodka	
outras-coisas	dar uma volta	
outras-coisas	viajar	
outras-coisas	ir no shoping	
outras-coisas	fazer um upload	
outras-coisas	navegar na internet	
outras-coisas	dar um rolê	
outras-coisas	beber pinga	
nada-haver	gato doente	
nada-haver	chamar um uber	
nada-haver	pagar IPTU	
nada-haver	casos de corona virus	
nada-haver	numero da conta do banco	
nada-haver	meu saldo do banco	
nada-haver	andar de trem	
nada-haver	ter uma  moto	
nada-haver	fazer um emprestimo	
nada-haver	pegar o bonde	
nada-haver	tirar documento do carro	
nada-haver	comprar roupa	
nada-haver	jogar bola	
nada-haver	jogar playstation	
nada-haver	ver uma casa	
nada-haver	comprar tenis	
nada-haver	passagem de aviao	
nada-haver	pagar conta de luz	
nada-haver	pagar conta de agua	
nada-haver	andar de  bike	
nada-haver	jogar xbox	
nada-haver	comprar passagem de avião	
nada-haver	consulta medica	
nada-haver	comprar uma bicicleta	
nada-haver	comprar carro	
nada-haver	pegar um metro	
nada-haver	comprar pacotes de viajem	
nada-haver	pagar boleto	
nada-haver	consulta veterinaria	
despedir	ate mais	
despedir	não quero dialogar	
despedir	ate logo	
despedir	ate a proxima	
despedir	fim	
despedir	sair daqui	
despedir	bora	
despedir	quero ir embora	
despedir	vou desligar	
despedir	xau	
despedir	não quero mais trocar ideia	
despedir	obrigado, ate mais	
despedir	não quero conversar mais	
despedir	quero sumir  daqui	
despedir	adeusinho	
despedir	vou sair vazado	
despedir	vou embora	
despedir	ir embora	
despedir	ate depois	
despedir	adeus	
despedir	proximo	
despedir	vou dar no pé	
despedir	tchau	
despedir	thau	
despedir	bye	
despedir	quero sair	
ajuda	me socorre	
ajuda	para onde ir	
ajuda	estou perdido aqui	
ajuda	estou sem saber o que fazer	
ajuda	como faço para chegar	
ajuda	quero saber como funciona	
ajuda	como faço para realizar um	
ajuda	o meu boleto não foi gerado	
ajuda	como faço para ver o status do meu voo	
ajuda	para onde eu vou	
ajuda	preciso de ajuda	
ajuda	nao estou conseguindo	
ajuda	meu livro ainda nao chegou	
ajuda	preciso ser orientado	
ajuda	quero uma ajuda para encontrar uma	
ajuda	alguem me oriente	
ajuda	minha compra nao deu certo	
ajuda	queria saber do meu voo	
ajuda	preciso de uma informaçao	
ajuda	help me	
ajuda	nao consigo	
ajuda	preciso de socorro	
ajuda	em que voce pode me ajudar?	
ajuda	nao estou entendendo	
ajuda	quero ver o status	
ajuda	quero informaçoes	
ajuda	me ajude por favor	
